Date,Pounds
2015-02-10,194.0
2015-10-10,187.0
2016-01-10,184.0
2016-04-10,182.0
2016-05-10,180.0
2016-05-20,178.0
2016-05-22,178.6
2016-05-24,177.8
2016-05-26,180.0
2016-05-29,180.0
2016-05-30,179.0
2016-05-31,177.6
2016-06-02,178.4
2016-06-02,177.6
2016-06-10,178.0
2016-06-16,177.4
2016-06-21,176.4
2016-06-22,177.0
2016-06-23,176.6
2016-06-25,176.0
2016-06-27,175.6
2016-06-28,175.4
2016-06-30,175.8
2016-07-01,175.8
2016-07-02,175.4
2016-07-03,175.6
2016-07-04,174.6
2016-07-07,175.2
2016-07-08,174.6
2016-07-09,174.0
